"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"378";"Augmented reality glasses control method, augmented reality glasses, electronic equipment and medium";"GAO YAJUAN 
JIANG BIRONG 
WANG CHENG 
CHENG SHENGQUN 
WU ZHONGYU 
YAO CHAO";"LUXSHARE PRECISION TECH NANJING CO LTD";"CN118011634A";"2023-12-26";"G02B27/01 
G02C5/12 
G06F18/213 
G06F18/22 
G06N20/00";"G02B27/0176 (CN) 
G02C5/122 (CN) 
G06F18/213 (CN) 
G06F18/22 (CN) 
G06N20/00 (CN) 
G02B2027/0178 (CN) 
G02B2027/0192 (CN)";"2024-05-10";"2024-05-10";"090952657";
"379";"Display scaling based on movement of a head-mounted display";"STARNER THAD EUGENE [US] 
WONG ADRIAN [US] 
ZHAO YONG [US] 
WANG CHIA-JEAN [US] 
GUPTA ANURAG [US] 
CHI LIANG-YU TOM [US]";"STARNER THAD EUGENE [US] 
WONG ADRIAN [US] 
ZHAO YONG [US] 
WANG CHIA-JEAN [US] 
GUPTA ANURAG [US] 
CHI LIANG-YU TOM [US] 
GOOGLE INC [US]";"US9213185B1";"2012-01-06";"G02B27/01 
G06T19/00";"G02B27/0093 (EP,US) 
G02B27/017 (EP,US) 
G06T19/006 (US) 
G02B2027/0127 (EP,US) 
G02B2027/0178 (EP,US)";"2015-12-15";"2015-12-15";"054783134";
"380";"Augmented reality optical system and head mounted display";"HONG LINGGUI 
SHI FUBIN 
YOU HONGWEN";"DONGGUAN SHUANGYING PHOTOELECTRIC TECH CO LTD";"CN116819770A";"2022-03-21";"G02B27/00 
G02B27/01";"";"2023-09-29";"2023-09-29";"088118937";
"381";"HEAD MOUNTED DISPLAY AND METHOD OF CONTROLLING THE SAME";"KIM YONGSIN [KR] 
LEE DOYOUNG [KR] 
PARK HYORIM [KR]";"LG ELECTRONICS INC [KR]";"WO2015046673A1";"2013-09-30";"G02B27/02";"G02B27/017 (EP) 
G02B2027/0138 (EP) 
G02B2027/014 (EP)";"2015-04-02";"2015-04-02";"052743783";
"382";"COMBINED BIREFRINGENT MATERIAL AND REFLECTIVE WAVEGUIDE FOR MULTIPLE FOCAL PLANES IN A MIXED-REALITY HEAD-MOUNTED DISPLAY DEVICE";"HELD ROBERT THOMAS [US] 
KRESS BERNARD CHARLES [US] 
SAULSBURY ASHLEY [US] 
RESHIDKO DMITRY [US]";"MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US11953686B2 
US2023103091A1";"2021-09-26";"G02B27/01 
G02B27/28 
G02F1/29 
G09G3/00";"G02B27/0172 (EP,US) 
G02B27/0179 (US) 
G02B27/288 (US) 
G02B5/3083 (EP) 
G02F1/294 (US) 
G09G3/001 (US) 
G02B2027/0127 (US) 
G02B2027/0178 (US) 
G02B2027/0185 (EP) 
G02B2027/0187 (US)";"2023-03-30 
2024-04-09";"2023-03-30";"082899142";
"383";"Waveguide display system and augmented reality glasses";"LIU JUAN 
SHI XUELIANG";"BEIJING INSTITUTE TECH";"CN110927975A";"2019-12-20";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0123 (CN)";"2020-03-27";"2020-03-27";"069864454";
"384";"Head-mounted display system";"BERME NECIP [US] 
BERME MURAT KERIM [US] 
BARO MOHAN CHANDRA [US] 
COTTERMAN MEGAN ELAINE [US]";"BERTEC CORP [US]";"US12204098B1";"2022-10-13";"A61B3/00 
A61B3/113 
G02B27/00 
G02B27/01 
G06F3/01 
G06F3/0482 
G06T15/00";"A61B5/1036 (EP) 
A61B5/4023 (EP) 
G02B27/0093 (US) 
G02B27/017 (EP) 
G02B27/0172 (US) 
G06F3/011 (EP) 
G06F3/012 (EP,US) 
G06F3/013 (EP) 
G06F3/016 (EP) 
G06F3/017 (EP,US) 
G06F3/0334 (EP) 
G06F3/0338 (EP) 
G06F3/0482 (US) 
A61B5/486 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B27/0093 (EP)";"2025-01-21";"2025-01-21";"094283010";
"385";"AR AR glasses for non-face-to-face augmented reality-based tour guides and their operation method";"KIM TAE DONG [KR]";"KIM TAE DONG [KR]";"KR20220058986A";"2020-11-02";"G02B27/00 
G02B27/01";"G02B27/0093 (KR) 
G02B27/0172 (KR) 
G02B27/0176 (KR) 
G02B2027/014 (KR) 
G02B2027/0141 (KR) 
G02B2027/0178 (KR)";"2022-05-10";"2022-05-10";"081592184";
"386";"HEAD MOUNTED DISPLAY AND METHOD OF OUTPUTTING A CONTENT USING THE SAME IN WHICH THE SAME IDENTICAL CONTENT IS DISPLAYED";"KIM YONGSIN [KR]";"LG ELECTRONICS INC [KR] 
MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2014191929A1 
US9423619B2";"2012-07-16";"G02B27/01 
G06F3/14 
G09G5/00 
G09G5/12";"G02B27/017 (EP,US) 
G02B27/02 (KR) 
G06F3/012 (EP) 
G06F3/013 (EP) 
G06F3/1454 (EP,US) 
G02B2027/0123 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G09G2370/16 (EP,US) 
G09G5/12 (EP,US)";"2014-07-10 
2016-08-23";"2013-04-23";"048094858";
"387";"Augmented reality glasses with rotating lenses";"ZHANG MIN 
DONG HONG";"UNIV SHANDONG 2ND HOSPITAL";"CN114994920A";"2022-07-01";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2022-09-02";"2022-09-02";"083020520";
"388";"HEAD MOUNTED DISPLAY";"SHI TIANYUAN [CN] 
WANG JIANWEI [CN] 
ZHU YAN [CN]";"JRD COMMUNICATION SHENZHEN LTD [CN]";"US2022291478A1";"2021-03-10";"G02B27/01 
G02B7/14";"G02B27/0172 (EP,CN,US) 
G02B27/0176 (EP,CN) 
G02B7/14 (US) 
G02C9/00 (EP) 
G02B2027/014 (US) 
G02B2027/0178 (EP,CN,US) 
G02C11/10 (EP) 
G02C2200/02 (EP)";"2022-09-15";"2021-06-15";"076277378";
"389";"Augmented reality glasses";"BI XIANGANG 
YU YANG";"GOERTEK INC";"CN115032799A 
CN115032799B";"2022-08-10";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2022-09-09 
2023-05-23";"2022-09-09";"083131160";
"390";"SYSTEMS AND METHODS FOR ASSEMBLING A HEAD-MOUNTED DISPLAY";"SCHULTZ JAMES [US] 
TOY RANDALL SCOTT [US] 
SCHMITZ AARON [US]";"META PLATFORMS TECH LLC [US]";"US12210218B2 
US2024094564A1";"2022-09-19";"G02B27/01 
G02C13/00";"G02B27/0172 (US) 
G02B27/0176 (EP) 
G02B27/62 (EP) 
G02B7/003 (EP) 
G02C13/00 (US) 
H04N9/3164 (US) 
G02B2027/0178 (EP,US) 
H04N13/344 (EP)";"2024-03-21 
2025-01-28";"2024-03-20";"087863157";
"391";"APPARATUS FOR CORRECTING POSTURE OF ULTRASOUND SCANNER FOR ARTIFICIAL INTELLIGENCE-TYPE ULTRASOUND SELF-DIAGNOSIS USING AUGMENTED REALITY GLASSES, AND REMOTE MEDICAL DIAGNOSIS METHOD USING SAME";"YOO JAE-CHERN [KR]";"RESEARCH & BUSINESS FOUND SUNGKYUNKWAN UNIV [KR] 
OMNI C&S INC [KR]";"US12144687B2 
US2022387000A1";"2020-01-16";"A61B8/00 
G06T7/194 
A61B90/00";"A61B8/4245 (KR) 
A61B8/4254 (EP,US) 
A61B8/4263 (EP,US) 
A61B8/429 (EP,KR) 
A61B8/4472 (EP,US) 
A61B8/461 (EP,KR) 
A61B8/462 (EP,US) 
A61B8/469 (US) 
A61B8/5223 (EP,KR) 
A61B8/54 (US) 
A61B8/56 (US) 
A61B8/565 (KR) 
A61B8/582 (KR) 
G06T7/194 (US) 
G16H40/67 (KR) 
G16H50/50 (KR) 
A61B2090/365 (EP,US) 
G06T2207/10132 (US) 
G06T2207/20081 (US) 
G06T2207/20084 (US) 
G06T2207/30004 (US)";"2022-12-08 
2024-11-19";"2020-08-14";"072050307";
"392";"Multifunctional augmented reality glasses";"ZHANG CHUNJUAN";"SHENZHEN CHUANZHI TECH CO LTD";"CN209086551U";"2018-11-07";"G02B27/01";"";"2019-07-09";"2019-07-09";"067122917";
"393";"Augmented reality display module, AR glasses and head-up display";"SHEN HUIPING 
JIANG YIYING";"GIS TECH CHENGDU CO LTD 
INTERFACE OPTOELECTRONICS SHENZHEN CO LTD 
GENERAL INTERFACE SOLUTION LTD";"CN121325415A";"2025-11-11";"B60K35/23 
G02B27/01 
G02B6/122 
G02B6/124";"";"2026-01-13";"2026-01-13";"098341513";
"394";"Early warning method for augmented reality glasses based on game field";"YU KUNHONG 
LIN PEICHUAN";"HANTANG MEDIA CO LTD";"CN110320994A 
CN110320994B";"2018-03-31";"G02B27/01 
G06F3/01 
G06T19/00";"G02B27/017 (CN) 
G06F3/011 (CN) 
G06T19/003 (CN) 
G06T19/006 (CN) 
G02B2027/0178 (CN)";"2019-10-11 
2023-12-22";"2019-10-11";"068111945";
"395";"METHOD FOR OPERATING APP LIBRARY BY SEQUENTIALLY RECOGNIZING WRIST AND TRIGGER GESTURES, AND HEAD MOUNTED DISPLAY DEVICE IN WHICH APP LIBRARY OPERATES";"CHOI CHIWON [KR] 
LEE WONSEOK [KR]";"P&C SOLUTION [KR]";"WO2023063515A1";"2021-10-14";"G02B27/00 
G02B27/01";"G02B27/00 (EP) 
G02B27/0093 (KR) 
G02B27/01 (EP) 
G02B27/0172 (KR) 
G02B2027/014 (KR) 
G02B2027/0141 (KR)";"2023-04-20";"2023-04-20";"085988348";
"396";"Modular augmented reality glasses";"WANG ZHICHONG";"WANG ZHICHONG";"CN206946103U";"2017-07-06";"G02B27/01";"";"2018-01-30";"2018-01-30";"061369548";
"397";"Augmented reality display system and AR glasses";"DIAO RUIMIN 
WANG YAOCHANG";"SICHUAN LONGHUA FILM CO LTD";"CN116243483A";"2021-12-07";"G02B27/01 
G02B27/28 
G02B5/30";"G02B27/0172 (EP,CN,US) 
G02B27/283 (EP,CN,US) 
G02B27/286 (EP,CN) 
G02B5/3016 (CN,US) 
G02B5/3025 (US) 
G02B2027/0118 (EP) 
G02B2027/012 (EP) 
G02B2027/0178 (CN)";"2023-06-09";"2023-06-08";"086608511";
"398";"Information interaction method and device, head-mounted display, wearable equipment and medium";"WANG LONGHUI 
MIAO JINGHUA 
WANG XUEFENG 
LI WENYU 
PENG XIANGJUN";"BEIJING BOE DISPLAY TECH CO 
BOE TECHNOLOGY GROUP CO LTD";"CN119172648A";"2024-10-14";"H04N23/71 
H04N23/73";"";"2024-12-20";"2024-12-20";"093888242";
"399";"Augmented reality glasses and AR display panel";"WU DESHENG 
ZHONG XIAOYUE 
LI ZHICHENG";"TRULY OPTO ELECTRONICS LTD";"CN223347139U";"2024-11-08";"G02B27/01 
G02F1/1333 
G02F1/1335 
G09F9/35";"";"2025-09-16";"2025-09-16";"097024092";
"400";"Heat dissipation type augmented reality head-mounted display";"WANG NINGCI 
MENG XIANGYI 
YAN HUIJIONG 
ZHANG SHIYUE 
YANG CHAO 
ZHANG JIUSONG 
PU XINGKONG 
MA CHUANG";"TIANJIN ARTIFICIAL INTELLIGENCE INNOVATION CENTER";"CN218068461U";"2022-08-01";"G02B27/01 
H05K5/02 
H05K7/20";"";"2022-12-16";"2022-12-16";"084402251";
"401";"Tunnel intelligent construction platform based on AR smart glasses as terminal";"CHEN SHILI 
HU YUJUAN";"GUANGZHOU HEJIA ELECTRONIC TECH CO LTD";"CN109164748A";"2018-07-30";"G05B19/05";"G05B19/054 (CN)";"2019-01-08";"2019-01-08";"064898654";
"402";"Telescopic augmented reality glasses";"";"ZHENGZHOU WEIHAN INFORMATION TECH CO LTD";"CN108169903A";"2017-12-28";"G02B27/01";"G02B27/0176 (CN) 
G02B2027/0178 (CN)";"2018-06-15";"2018-06-15";"062518764";
"403";"Anti-interference augmented reality display system and AR glasses";"HUANG QINHUA 
LI WENQUAN";"SHENZHEN SKYWORTH NEW WORLD TECH CO LTD";"CN209542958U";"2018-12-12";"G02B27/01";"";"2019-10-25";"2019-10-25";"068264287";
"404";"Head mounted display with wave front modulator";"LAPSTUN PAUL [AU] 
SILVERBROOK KIA [AU]";"SILVERBROOK RES PTY LTD";"US2006028400A1";"2004-08-03";"G02B30/27 
G09G5/00";"G02B26/06 (EP,US) 
G02B27/0093 (EP,US) 
G02B27/017 (EP,KR,US) 
G02B30/27 (EP,US) 
G06F3/011 (EP,KR,US) 
G06F3/013 (EP,KR,US) 
G06F3/0321 (EP,KR,US) 
G06F3/03545 (KR) 
H04N13/344 (EP,US) 
G02B2027/0123 (EP,KR,US) 
G02B2027/014 (EP,KR,US) 
G02B2027/0187 (EP,KR,US)";"2006-02-09";"2006-02-09";"035756905";
"405";"Head-mounted display devices with transparent display panels for color deficient user";"YOON YOUNGSHIK [US] 
KIM CHEONHONG [US]";"FACEBOOK TECH LLC [US]";"US10706600B1";"2018-03-30";"G02B27/01 
G06F3/01 
G06T11/60 
G09G5/02";"G02B27/0093 (EP) 
G02B27/0172 (EP,US) 
G02B27/0179 (US) 
G06F3/011 (EP) 
G06F3/013 (EP) 
G06T11/00 (EP) 
G06T11/60 (US) 
G06T11/65 (EP) 
G09G5/026 (US) 
G02B2027/0112 (US) 
G02B2027/0138 (EP) 
G02B2027/014 (US) 
G02B2027/0141 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US) 
G02B27/017 (US) 
G06F3/013 (US) 
G06F3/015 (US) 
G09G2320/0666 (EP,US) 
G09G2340/12 (US) 
G09G2354/00 (EP,US) 
G09G5/026 (EP)";"2020-07-07";"2020-07-07";"071408320";
"406";"Head-mounted display devices with transparent display panels for eye tracking";"YOON YOUNGSHIK [US] 
KIM CHEONHONG [US]";"FACEBOOK TECH LLC [US]";"US10528128B1";"2017-12-15";"G02B27/01 
G02B5/20 
G06F3/01 
G06T11/60 
H01L27/32";"G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G02B27/0179 (EP,US) 
G02B5/208 (EP,US) 
G06F3/011 (EP) 
G06F3/013 (EP,US) 
G06F3/0346 (EP) 
G06T11/60 (EP,US) 
H10K59/18 (US) 
H10K59/60 (EP) 
H10K59/878 (EP,US) 
H10K59/879 (EP,US) 
G02B2027/0138 (US) 
G02B2027/014 (US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US) 
G02B27/017 (US) 
G06F3/015 (EP,US) 
H10K2102/3031 (EP)";"2020-01-07";"2020-01-07";"069058475";
"407";"HEAD-MOUNTED DISPLAY WITH MODULAR COMPONENTS";"POMBO STEPHEN A [US] 
HINES GEORGE HENRY [US] 
PARKINSON CHRISTOPHER IAIN [US] 
JHAWAR SANJAY SUBIR [US] 
LUSTIG KENNETH [US]";"REALWEAR INC [US]";"US11340465B2 
US2020018975A1";"2016-12-23";"A42B3/04 
G02B27/01 
G06F1/16 
G06F3/01";"A42B3/04 (US) 
G02B27/0172 (EP,US) 
G02B27/0176 (EP,US) 
G02B27/0179 (EP,US) 
G06F1/163 (EP,US) 
G06F3/011 (EP,US) 
A42B3/042 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0154 (EP,US)";"2020-01-16 
2022-05-24";"2018-06-28";"062627127";
"408";"Head-mounted display device and wearable device";"ZHANG ZHUOPENG 
WEI YIZHEN 
YOU LIJIN 
ZHAO YUNYANG 
DU LIJIAN";"LIGHTIN INC";"CN111208646A";"2020-03-04";"G02B27/01 
G02C5/14 
G02C5/16 
G02C5/20";"G02B27/0176 (CN) 
G02C5/14 (CN) 
G02C5/16 (CN) 
G02C5/20 (CN) 
G02B2027/0178 (CN)";"2020-05-29";"2020-05-29";"070784683";
"409";"BEAM SPLITTER OPTICAL SYSTEM WITH REFLECTIVE SURFACES SPACED AT REGULAR INTERVALS AND A HEAD MOUNTED DISPLAY APPARATUS USING THEREOF";"CHIWON CHOI 
HEEJAE CHEONG";"P&C SOLUTION [KR]";"KR102431165B1 
KR20220017306A";"2020-08-04";"G02B27/01 
G02B27/28";"G02B27/0172 (KR) 
G02B27/283 (KR)";"2022-02-11 
2022-08-11";"2022-02-11";"080266417";
"410";"Automatic text scrolling on a head-mounted display";"VAUGHT BENJAMIN I 
KIPMAN ALEX ABEN-ATHAR 
CROCCO ROBERT";"MICROSOFT CORP [US] 
MICROSOFT CORP 
MICROSOFT TECHNOLOGY LICENSING LLC";"AU2013200187A1 
AU2013200187A9 
AU2013200187B2 
AU2013200187B9";"2012-03-19";"G02B27/01";"";"2013-01-31 
2013-07-25 
2013-06-20";"2013-01-31";"047628502";
"411";"Optical module set and augmented reality glasses";"ZHANG YUAN 
ZHAO DONGFENG 
CUI HAIMING 
YANG CHUN 
ZHAO BOGANG";"GOERTEK TECH CO LTD";"CN107065189A 
CN107065189B";"2017-04-28";"G02B27/01 
G02B27/28";"G02B27/0101 (CN) 
G02B27/0172 (CN) 
G02B27/283 (CN) 
G02B2027/0114 (CN)";"2017-08-18 
2019-12-13";"2017-08-18";"059604058";
"412";"Flip type augmented-reality head-mounted display device";"WANG JIE 
TOONG SEE WAN";"SHENZHEN VIRTUAL REALITY TECH CO LTD";"CN108254923A";"2017-12-31";"G02B27/01";"G02B27/0172 (CN)";"2018-07-06";"2018-07-06";"062724813";
"413";"Multi-source fusion vision enhancement head-mounted display system and device";"ZHANG CHENG 
QIAN GUODONG 
LIU ZIYU 
SONG YANLIN 
CHEN HAITAO 
YANG YUE 
TAN QIRUI 
LU DA";"HANGZHOU ZHIYUAN RES INSTITUTE CO LTD";"CN120103967A";"2025-01-17";"G02B27/01 
G06F3/01 
G06V10/764 
G06V40/10 
G06V40/18 
G06V40/20 
G10L15/22";"G02B27/017 (CN) 
G06F3/011 (CN) 
G06F3/013 (CN) 
G06F3/017 (CN) 
G06V10/764 (CN) 
G06V40/113 (CN) 
G06V40/193 (CN) 
G06V40/28 (CN) 
G10L15/22 (CN) 
G10L2015/225 (CN)";"2025-06-06";"2025-06-06";"095872850";
"414";"Augmented reality projection system, and head-mounted display equipment";"GAO ZHENYU";"GOERTEK INC";"CN109541803A 
CN109541803B";"2019-01-23";"G02B13/00 
G02B27/00 
G02B27/01 
G02B6/10";"G02B13/0015 (CN) 
G02B27/0081 (CN) 
G02B27/0101 (CN) 
G02B27/0172 (CN) 
G02B6/10 (CN)";"2019-03-29 
2023-08-29";"2019-03-29";"065838584";
"415";"OVER-EXTENSION HINGE FOR A PAIR OF AUGMENTED-REALITY GLASSES";"WEBB MICHAEL [US] 
PLETENETSKYY ANDRIY [US] 
ZHANG JACK [US]";"META PLATFORMS TECH LLC [US]";"EP4741912A1";"2024-11-07";"G02C11/00 
G02C5/14 
G02C5/22";"G02B27/0176 (EP,US) 
G02C11/10 (EP) 
G02C5/22 (US) 
G02C5/2254 (EP) 
G02C5/2263 (EP) 
G02B2027/0178 (EP,US) 
G02C2200/22 (EP) 
G02C2200/32 (EP)";"2026-05-13";"2026-05-08";"096947079";
"416";"Head-mounted display device and wearable device";"ZHANG ZHUOPENG 
WEI YIZHEN 
YOU LIJIN 
ZHAO YUNYANG 
DU LIJIAN";"LIGHTIN INC";"CN211402937U";"2020-03-04";"G02B27/01 
G02C5/14 
G02C5/16 
G02C5/20";"";"2020-09-01";"2020-09-01";"072216970";
"417";"Augmented reality glasses";"WANG JUN 
CHEN LIWEI 
LI DONGSHENG 
ZHAO JINGXIAN";"YOUNAI KEEN BEIJING TECH CO LTD";"CN210123499U";"2019-05-28";"G02B27/01 
G02C5/14";"";"2020-03-03";"2020-03-03";"069632758";
"418";"AR glasses control device and MR glasses system with same";"SU BO 
WANG YOUCHU";"SHENZHEN AUGMENTED REALITY TECH CO LTD";"CN212435844U";"2020-06-02";"F16M13/02 
F16M13/04 
G01S17/08 
G02B27/01 
H04N13/332 
H04N13/398";"";"2021-01-29";"2021-01-29";"074269771";
"419";"Head mounted display and method for controlling the same";"CHO EUNHYUNG [KR] 
KIM JONGHO [KR] 
LEE DOYOUNG [KR] 
KIM JIHWAN [KR] 
CHUN SINAE [KR]";"LG ELECTRONICS INC [KR]";"US9007401B1";"2014-02-20";"G02B27/01 
G06T19/00";"G02B27/017 (EP,US) 
G06F1/1686 (EP,US) 
G06F3/011 (EP,US) 
G06F3/017 (EP,US) 
G06F3/0487 (EP,US) 
G06F3/04883 (EP,US) 
G06F3/04886 (EP,US) 
G06F3/04895 (EP,US) 
G06T19/006 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G06F2200/1614 (EP,US)";"2015-04-14";"2015-04-14";"052782248";
"420";"Augmented reality head-mounted display device";"XIE XINRAN 
WANG BO 
ZHANG ZHIHUI 
LIN XIAOYAN 
DU SIHE 
HE LITING";"UNIV HONG KONG POLYTECHNIC";"CN111929899A";"2020-08-21";"G02B27/01";"G02B27/0172 (CN) 
G02B27/0176 (CN) 
G02B2027/0178 (CN)";"2020-11-13";"2020-11-13";"073306142";
"421";"A optical mechanical module for augmented reality glasses";"XIE ZHANGTAO 
ZHENG YU";"BEIJING LINGXI WEIGUANG TECH CO LTD";"CN207249249U";"2017-06-16";"G02B27/01";"";"2018-04-17";"2018-04-17";"061877007";
"422";"ACTUATED PUPIL STEERING FOR HEAD-MOUNTED DISPLAY SYSTEMS";"ZIEGLER DAVID THOMAS [CH] 
TREMBLAY ERIC JULIAN [CH] 
ZAGOLLA VOLKER [CH] 
PAPADOPOULOS IOANNIS [CH] 
UFFER NICOLAS LIONEL [CH] 
DE GOL PHILIPPE [CH] 
ROMERO CARLOS ALBERTO MACIAS [CH]";"MAGIC LEAP INC [US]";"US2024151964A1";"2021-01-11";"G02B26/08 
G02B27/00 
G02B27/01 
G02B5/18";"G02B26/0808 (EP,US) 
G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G02B5/1861 (EP) 
G02B5/1871 (US) 
G02B2027/0187 (EP)";"2024-05-09";"2022-07-14";"082357597";
"423";"OPTICAL SUPPORT SYSTEM FOR AUGMENTED REALITY GLASSES";"MATON OLIVER WILLIAM [GB]";"SNAP INC [US]";"US2025237877A1";"2024-01-23";"G02B27/01 
G02B27/28 
G02B27/62";"G02B27/0172 (EP,US) 
G02B27/0176 (EP,US) 
G02B27/283 (EP,US) 
G02B27/62 (EP,US) 
G02B2027/0114 (EP,US) 
G02B2027/0169 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0198 (EP,US)";"2025-07-24";"2025-07-24";"096433492";
"424";"Augmented reality glasses";"QU JILONG 
CHENG LIHUI 
GUAN YADONG";"HEFEI LONGQI INTELLIGENT TECH CO LTD";"CN119148391A 
CN119148391B";"2024-11-04";"G02B27/01 
G02C5/14 
G02C5/16";"G02B27/0176 (CN) 
G02C5/14 (CN) 
G02C5/16 (CN) 
G02B2027/0178 (CN)";"2024-12-17 
2026-01-23";"2024-12-17";"093812685";
"425";"AR (Augmented Reality) glasses and method and system for representing perceived brightness displayed by AR glasses";"HE NAILONG 
ZHOU WEIQI 
ZHANG YUEYUAN 
HU CHENHAO 
WANG WEI 
XIE LINNA 
SHEN ZHONGWEN 
ZHANG YUNING";"STONE CITY LABORATORY FOR NEW DISPLAY AND VISION PERCEPTION STONE 
UNIV SOUTHEAST";"CN119714803A 
CN119714803B";"2024-12-11";"G01J1/00 
G01M11/02 
G02B27/01 
H04N13/133 
H04N13/332";"Y02B20/40 (EP)";"2025-03-28 
2025-12-12";"2025-03-28";"095094467";
"426";"Interaction method and device of head-mounted display equipment and electronic equipment";"LI BINGYAO";"OPPO GUANGDONG MOBILE TELECOMMUNICATIONS CO LTD";"CN113413585A 
CN113413585B";"2021-06-21";"G06F3/0481 
A63F13/211 
A63F13/212 
A63F13/285 
A63F13/52 
G06F3/01 
G06F3/0346 
G06T19/00 
G06F3/04815";"A63F13/211 (CN) 
A63F13/212 (CN) 
A63F13/285 (CN) 
A63F13/52 (CN) 
G06F3/011 (CN) 
G06F3/014 (CN) 
G06F3/016 (CN) 
G06F3/017 (CN) 
G06F3/0346 (CN) 
G06F3/04815 (CN) 
G06T19/006 (CN) 
A63F2300/1012 (CN) 
A63F2300/1037 (CN) 
A63F2300/105 (CN) 
A63F2300/308 (CN)";"2021-09-21 
2024-03-22";"2021-09-21";"077789862";
"427";"AUGMENTED REALITY GLASSES";"TU TSUNG-WEI [TW] 
CHIU YI-JUNG [TW] 
HUANG SHIH-TING [TW] 
LI YEN-HSIEN [TW] 
CHEN CHUN-YU [TW]";"ACER INC [TW]";"US12416812B2 
US2023194880A1";"2021-12-17";"G02B27/01 
G02B27/14 
G02B27/30 
G02B27/28";"G02B27/0081 (EP) 
G02B27/0172 (EP,US) 
G02B27/0176 (EP,US) 
G02B27/14 (EP,US) 
G02B27/30 (EP,US) 
G02B2027/0125 (EP) 
G02B2027/0159 (EP,US) 
G02B2027/0178 (EP,US) 
G02B27/283 (EP,US)";"2023-06-22 
2025-09-16";"2023-06-21";"086767912";
"428";"AR GLASSES WITH SENSOR AND USER ACTION BASED CONTROL OF EYEPIECE APPLICATIONS WITH FEEDBACK";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US]";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US] 
CELLA CHARLES [US] 
NORTRUP ROBERT J [US] 
NORTRUP EDWARD H [US] 
OSTERHOUT GROUP INC [US]";"US2012200488A1";"2010-02-28";"G06F3/01";"G02B27/0093 (EP,US) 
G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/005 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/017 (EP,US) 
G06Q30/02 (EP,US) 
G02B2027/0132 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US)";"2012-08-09";"2012-08-09";"046600315";
"429";"Method and apparatus for maintaining a secure head-mounted display session";"YILDIZ YAGIZ C [US] 
KNEPPER LAWRENCE E [US]";"DELL PRODUCTS LP [US]";"US10345902B1";"2018-04-24";"G02B27/00 
G02B27/01 
G06F3/01 
G06K9/00";"G02B27/0093 (US) 
G02B27/0172 (US) 
G02B27/0176 (US) 
G06F1/163 (EP,US) 
G06F21/00 (US) 
G06F21/32 (EP) 
G06F21/34 (EP) 
G06F3/011 (EP,US) 
G06F3/015 (EP,US) 
G06V40/197 (US) 
G06V40/70 (EP)";"2019-07-09";"2019-07-09";"067106229";
"430";"Augmented reality projection system and head-mounted display equipment";"GAO ZHENYU";"GOERTEK INC";"CN209265075U";"2019-01-23";"G02B13/00 
G02B27/00 
G02B27/01 
G02B6/10";"";"2019-08-16";"2019-08-16";"067584800";
